start	end	text
0	9000	باب دو سیدی لکیر پر حرکت
9000	27000	حصہ دو اشاریہ ایک مکام ہٹاؤ اور اوسط سمطی رفتار
28000	35000	مکاسد باب جوز حرصہ دو اشاریہ سفر ایک
35000	51000	سمجھنا کہ اگر کسی جسم کے تمام حصے ایک ہی روخ میں ایک ہی رفتار سے حرکت کرتے ہو
52000	63000	تب اس جسم کو نکتا نمہ ضررہ تصور کیا جا سکتا ہے
63000	77000	اس باب میں اسی کسم کے اجسام کی حرکت پر غور کیا جائے گا
77000	83000	جوز حصہ دو اشاریہ سفر دو
83000	98000	یہ سمجھنا کہ کسی ضررے کے مکام سے مراد ایک پیمائی
98000	118000	مہور مثلن مہور ایکس پر ضررے کا مکام ہے
118000	123000	جوز حصہ دو اشاریہ سفر تین
123000	142000	ضررے کے ہٹاو اور ابتدائی اور اختیطامی مکامات کے بیچ تعلق کا اطلاق
142000	148000	جوز حصہ دو اشاریہ سفر چار
149000	165000	ضررے کی اوسط سمطی رفتار اس کے ہٹاو اور اس ہٹاو کیلئے
165000	175000	درکار وقتی وقفہ کے بیچ تعلق کا اطلاق
176000	180000	جوز حصہ دو اشاریہ سفر پانج
180000	186000	ضررے کی اوسط رفتار
186000	192000	تیشدہ فاصلہ
192000	202000	اور حرکت کے لیے درکار وقت کے بیچ تعلق کا اطلاق
202000	208000	جوز حصہ دو اشاریہ سفر چار
208000	219000	ضررے کے مکام بال مقابل وقت ترسیم سے
219000	237000	کسی بھی دو اکات کے بیچ ضررے کی اوسط سمطی رفتار کا تایشن
